x_L,Cf
-0.5000,0.00300084
-0.4925,0.00300102
-0.4850,0.00300124
-0.4774,0.00300150
-0.4699,0.00300180
-0.4624,0.00300217
-0.4549,0.00300260
-0.4474,0.00300311
-0.4398,0.00300370
-0.4323,0.00300440
-0.4248,0.00300521
-0.4173,0.00300616
-0.4098,0.00300725
-0.4023,0.00300851
-0.3947,0.00300997
-0.3872,0.00301163
-0.3797,0.00301354
-0.3722,0.00301571
-0.3647,0.00301817
-0.3571,0.00302096
-0.3496,0.00302410
-0.3421,0.00302763
-0.3346,0.00303159
-0.3271,0.00303601
-0.3195,0.00304092
-0.3120,0.00304636
-0.3045,0.00305237
-0.2970,0.00305899
-0.2895,0.00306624
-0.2820,0.00307416
-0.2744,0.00308279
-0.2669,0.00309214
-0.2594,0.00310224
-0.2519,0.00311312
-0.2444,0.00312478
-0.2368,0.00313724
-0.2293,0.00315049
-0.2218,0.00316453
-0.2143,0.00317935
-0.2068,0.00319492
-0.1992,0.00321122
-0.1917,0.00322819
-0.1842,0.00324580
-0.1767,0.00326398
-0.1692,0.00328267
-0.1617,0.00330178
-0.1541,0.00332122
-0.1466,0.00334091
-0.1391,0.00336072
-0.1316,0.00338055
-0.1241,0.00340028
-0.1165,0.00341979
-0.1090,0.00343893
-0.1015,0.00345759
-0.0940,0.00347563
-0.0865,0.00349290
-0.0789,0.00350929
-0.0714,0.00352466
-0.0639,0.00353889
-0.0564,0.00355186
-0.0489,0.00356347
-0.0414,0.00357361
-0.0338,0.00358221
-0.0263,0.00358917
-0.0188,0.00359445
-0.0113,0.00359800
-0.0038,0.00359978
0.0038,0.00359978
0.0113,0.00359800
0.0188,0.00359445
0.0263,0.00358917
0.0338,0.00358221
0.0414,0.00357361
0.0489,0.00356347
0.0564,0.00355186
0.0639,0.00353889
0.0714,0.00352466
0.0789,0.00350929
0.0865,0.00349290
0.0940,0.00347563
0.1015,0.00345759
0.1090,0.00343893
0.1165,0.00341979
0.1241,0.00340028
0.1316,0.00338055
0.1391,0.00336072
0.1466,0.00334091
0.1541,0.00332122
0.1617,0.00330178
0.1692,0.00328267
0.1767,0.00326398
0.1842,0.00324580
0.1917,0.00322819
0.1992,0.00321122
0.2068,0.00319492
0.2143,0.00317935
0.2218,0.00316453
0.2293,0.00315049
0.2368,0.00313724
0.2444,0.00312478
0.2519,0.00311312
0.2594,0.00310224
0.2669,0.00309214
0.2744,0.00308279
0.2820,0.00307416
0.2895,0.00306624
0.2970,0.00305899
0.3045,0.00305237
0.3120,0.00304636
0.3195,0.00304092
0.3271,0.00303601
0.3346,0.00303159
0.3421,0.00302763
0.3496,0.00302410
0.3571,0.00302096
0.3647,0.00301817
0.3722,0.00301571
0.3797,0.00301354
0.3872,0.00301163
0.3947,0.00300997
0.4023,0.00300851
0.4098,0.00300725
0.4173,0.00300616
0.4248,0.00300521
0.4323,0.00300440
0.4398,0.00300370
0.4474,0.00300311
0.4549,0.00300260
0.4624,0.00300217
0.4699,0.00300180
0.4774,0.00300150
0.4850,0.00300124
0.4925,0.00300102
0.5000,0.00300084
0.5075,0.00300069
0.5150,0.00300056
0.5226,0.00300046
0.5301,0.00300037
0.5376,0.00300030
0.5451,0.00300024
0.5526,0.00300020
0.5602,0.00300016
0.5677,0.00300013
0.5752,0.00300010
0.5827,0.00300008
0.5902,0.00300006
0.5977,0.00300005
0.6053,0.00300004
0.6128,0.00300003
0.6203,0.00300002
0.6278,0.00300002
0.6353,0.00300001
0.6429,0.00300001
0.6504,0.00300001
0.6579,0.00300001
0.6654,0.00300001
0.6729,0.00300000
0.6805,0.00300000
0.6880,0.00300000
0.6955,0.00300000
0.7030,0.00300000
0.7105,0.00300000
0.7180,0.00300000
0.7256,0.00300000
0.7331,0.00300000
0.7406,0.00300000
0.7481,0.00300000
0.7556,0.00300000
0.7632,0.00300000
0.7707,0.00300000
0.7782,0.00300000
0.7857,0.00300000
0.7932,0.00300000
0.8008,0.00300000
0.8083,0.00300000
0.8158,0.00300000
0.8233,-0.00001889
0.8308,-0.00006173
0.8383,-0.00010426
0.8459,-0.00014625
0.8534,-0.00018749
0.8609,-0.00022777
0.8684,-0.00026689
0.8759,-0.00030464
0.8835,-0.00034083
0.8910,-0.00037527
0.8985,-0.00040779
0.9060,-0.00043822
0.9135,-0.00046641
0.9211,-0.00049221
0.9286,-0.00051549
0.9361,-0.00053613
0.9436,-0.00055402
0.9511,-0.00056907
0.9586,-0.00058122
0.9662,-0.00059038
0.9737,-0.00059652
0.9812,-0.00059961
0.9887,-0.00059962
0.9962,-0.00059657
1.0038,-0.00059046
1.0113,-0.00058132
1.0188,-0.00056921
1.0263,-0.00055418
1.0338,-0.00053632
1.0414,-0.00051571
1.0489,-0.00049245
1.0564,-0.00046668
1.0639,-0.00043851
1.0714,-0.00040810
1.0789,-0.00037560
1.0865,-0.00034118
1.0940,-0.00030501
1.1015,-0.00026727
1.1090,-0.00022817
1.1165,-0.00018790
1.1241,-0.00014667
1.1316,-0.00010468
1.1391,-0.00006216
1.1466,-0.00001932
1.1541,0.00002466
1.1617,0.00006872
1.1692,0.00011179
1.1767,0.00015391
1.1842,0.00019508
1.1917,0.00023534
1.1992,0.00027470
1.2068,0.00031318
1.2143,0.00035080
1.2218,0.00038758
1.2293,0.00042355
1.2368,0.00045871
1.2444,0.00049309
1.2519,0.00052670
1.2594,0.00055956
1.2669,0.00059168
1.2744,0.00062309
1.2820,0.00065380
1.2895,0.00068383
1.2970,0.00071319
1.3045,0.00074189
1.3120,0.00076995
1.3195,0.00079738
1.3271,0.00082421
1.3346,0.00085043
1.3421,0.00087607
1.3496,0.00090114
1.3571,0.00092565
1.3647,0.00094961
1.3722,0.00097304
1.3797,0.00099594
1.3872,0.00101834
1.3947,0.00104023
1.4023,0.00106164
